date,price,momentum_short_raw_rsi,momentum_short_position,momentum_short_velocity,momentum_short_acceleration,momentum_long_raw_rsi,momentum_long_position,momentum_long_velocity,momentum_long_acceleration,momentum_contrast_raw_short_minus_long,momentum_contrast_position_short_minus_long,momentum_contrast_velocity_short_minus_long,momentum_contrast_acceleration_short_minus_long
2016-07-05,0.14041514041514042,-0.5897435897435896,-0.21306471306471303,-0.21001221001221002,0.3278388278388278,-0.7631257631257632,-0.5366300366300365,-0.5299145299145299,-0.28998778998779,0.01465201465201465,0.4792429792429792,0.29304029304029305,0.49877899877899873
2016-07-06,0.2313797313797314,-0.5128205128205128,-0.19291819291819293,-0.18192918192918192,0.30097680097680096,-0.7692307692307693,-0.612942612942613,-0.5976800976800977,-0.21794871794871792,0.17765567765567764,0.44932844932844934,0.41819291819291815,0.4426129426129426
2016-07-07,0.2032967032967033,-0.37484737484737485,0.17094017094017094,-0.04822954822954823,0.4517704517704518,-0.647130647130647,-0.33577533577533575,-0.48717948717948717,-0.07326007326007326,0.30341880341880345,0.49694749694749696,0.459096459096459,0.44627594627594624
2016-07-08,0.33516483516483514,-0.33516483516483514,0.10805860805860806,0.02564102564102564,0.2753357753357753,-0.42246642246642246,-0.10073260073260072,-0.3162393162393162,0.2490842490842491,0.13553113553113552,0.20207570207570208,0.37484737484737485,0.08302808302808302
2016-07-11,0.4554334554334554,-0.24297924297924298,0.2692307692307693,0.17643467643467645,0.3711843711843712,-0.42246642246642246,0.10744810744810745,-0.19474969474969472,0.5073260073260073,0.21123321123321123,0.22283272283272282,0.40598290598290593,-0.018925518925518924
2016-07-12,0.3101343101343101,-0.29120879120879123,0.2875457875457875,0.17704517704517705,0.3253968253968254,-0.36507936507936506,0.03296703296703297,-0.14896214896214896,0.4188034188034188,0.11660561660561661,0.18437118437118435,0.3125763125763126,0.059218559218559216
2016-07-13,0.2295482295482295,-0.42490842490842484,0.34615384615384615,0.278998778998779,0.459096459096459,-0.5586080586080585,-0.17765567765567764,-0.2503052503052503,0.32112332112332115,0.24114774114774112,0.3504273504273504,0.44749694749694746,0.24542124542124538
2016-07-14,0.24297924297924298,-0.05372405372405373,0.39316239316239315,0.2954822954822955,0.21123321123321123,-0.21916971916971917,0.13675213675213677,0.029914529914529916,0.2692307692307693,0.23931623931623933,0.19108669108669107,0.23809523809523808,-0.0641025641025641
2016-07-15,0.018315018315018316,0.04884004884004883,0.17826617826617824,0.21672771672771673,-0.03174603174603174,-0.08974358974358974,0.16483516483516483,0.12332112332112331,0.25824175824175827,0.05738705738705738,-0.003052503052503052,0.05128205128205128,-0.2313797313797314
2016-07-18,-0.12148962148962149,0.018925518925518924,0.07326007326007326,0.10683760683760683,0.016483516483516484,0.009157509157509158,0.12087912087912088,0.12637362637362637,0.18376068376068375,0.03785103785103785,0.026251526251526252,0.004884004884004884,-0.17765567765567764
2016-07-19,-0.043345543345543344,0.11477411477411475,0.07020757020757021,0.12026862026862026,0.06593406593406594,-0.001221001221001221,0.08852258852258853,0.15445665445665446,0.013431013431013432,0.10073260073260072,0.07203907203907202,0.08608058608058607,-0.0115995115995116
2016-07-20,-0.09218559218559218,0.07997557997557997,0.06471306471306472,0.09706959706959707,-0.004884004884004884,0.09645909645909646,0.021367521367521368,0.12515262515262515,0.04212454212454213,-0.005494505494505494,-0.026862026862026864,-0.003052503052503052,-0.05982905982905983
2016-07-21,0.0115995115995116,0.017094017094017096,-0.06105006105006105,0.002442002442002442,-0.024420024420024417,0.16788766788766787,0.06715506715506715,0.045177045177045176,-0.0036630036630036626,-0.057997557997558,-0.06532356532356533,0.0,-0.10500610500610501
2016-07-22,-0.10622710622710621,0.006105006105006104,0.115995115995116,0.19352869352869354,0.0995115995115995,-0.07448107448107448,0.05006105006105006,0.028083028083028084,0.04884004884004883,0.0873015873015873,0.11477411477411475,0.10866910866910866,-0.005494505494505494
2016-07-25,-0.19352869352869354,0.002442002442002442,0.09218559218559218,0.11904761904761904,0.06654456654456653,-0.2118437118437118,0.013431013431013432,0.01465201465201465,0.05006105006105006,0.115995115995116,0.07081807081807082,0.11965811965811966,0.006715506715506716
2016-07-26,-0.09584859584859586,-0.20512820512820512,-0.07936507936507936,-0.0018315018315018313,-0.14774114774114774,-0.3705738705738706,0.0,-0.03235653235653236,0.01465201465201465,-0.019536019536019536,-0.15018315018315015,0.013431013431013432,-0.29609279609279604
2016-07-27,-0.026251526251526252,-0.13186813186813187,-0.0463980463980464,-0.06349206349206347,-0.1855921855921856,-0.14957264957264954,0.08547008547008547,0.008547008547008548,0.03601953601953601,-0.024420024420024417,-0.14163614163614163,-0.06959706959706959,-0.3687423687423687
2016-07-28,-0.07631257631257632,-0.018925518925518924,0.09218559218559218,0.1111111111111111,-0.11477411477411475,-0.163003663003663,0.163003663003663,0.10744810744810745,0.017704517704517704,0.10317460317460315,0.03785103785103785,0.05067155067155067,-0.1568986568986569
2016-07-29,-0.03724053724053724,-0.11782661782661781,0.017704517704517704,0.0757020757020757,-0.11477411477411475,-0.2148962148962149,0.08913308913308912,0.08669108669108669,0.08485958485958486,0.14224664224664224,-0.07753357753357752,0.023809523809523808,-0.221001221001221
2016-08-01,0.0757020757020757,-0.0641025641025641,0.017704517704517704,0.11782661782661781,-0.1855921855921856,-0.22283272283272282,0.15079365079365079,0.2045177045177045,-0.018315018315018316,0.1111111111111111,-0.06593406593406594,0.03296703296703297,-0.26190476190476186
2016-08-02,-0.020146520146520144,0.10195360195360195,0.24053724053724052,0.1581196581196581,-0.04822954822954823,-0.3162393162393162,0.19108669108669107,0.21978021978021978,0.06715506715506715,0.35470085470085466,0.21123321123321123,0.13614163614163613,-0.19597069597069594
2016-08-03,-0.056776556776556776,0.03663003663003663,0.22039072039072038,0.13003663003663005,-0.020146520146520144,-0.24725274725274726,0.18925518925518922,0.11477411477411475,0.09340659340659341,0.21916971916971917,0.06105006105006105,0.15384615384615385,-0.043345543345543344
2016-08-04,-0.06043956043956044,0.1794871794871795,0.4133089133089133,0.2686202686202686,0.07387057387057387,-0.06166056166056166,0.4267399267399268,0.25946275946275943,0.37606837606837606,0.358974358974359,0.0873015873015873,0.23076923076923078,-0.05067155067155067
2016-08-05,-0.1172161172161172,-0.007936507936507934,0.20024420024420023,0.21306471306471303,0.043345543345543344,0.03235653235653236,0.3339438339438339,0.25335775335775335,0.4432234432234432,-0.004884004884004884,-0.08913308913308912,-0.010378510378510378,-0.0463980463980464
2016-08-08,-0.0641025641025641,0.20573870573870573,0.4029304029304029,0.2851037851037851,0.10317460317460315,0.20512820512820512,0.5213675213675213,0.36996336996337,0.5207570207570207,0.16422466422466422,-0.05616605616605617,-0.09584859584859586,-0.07081807081807082
2016-08-09,0.03907203907203907,0.2277167277167277,0.3308913308913309,0.3473748473748474,-0.05067155067155067,0.33760683760683763,0.5256410256410257,0.5506715506715506,0.5286935286935286,0.03785103785103785,-0.1984126984126984,-0.17216117216117213,-0.14468864468864467
2016-08-10,0.043345543345543344,0.3278388278388278,0.44627594627594624,0.4896214896214896,0.1398046398046398,0.39316239316239315,0.6013431013431013,0.5647130647130647,0.5610500610500609,0.1800976800976801,-0.15079365079365079,-0.12454212454212454,-0.11355311355311355
2016-08-11,0.07631257631257632,0.32844932844932845,0.42857142857142855,0.442002442002442,0.2704517704517705,0.3675213675213675,0.5091575091575091,0.5494505494505495,0.49877899877899873,0.2881562881562881,0.12332112332112331,-0.03907203907203907,0.01465201465201465
2016-08-12,-0.057997557997558,0.3113553113553113,0.3565323565323565,0.3431013431013431,0.1221001221001221,0.3498168498168498,0.5042735042735043,0.5702075702075702,0.478021978021978,0.24236874236874237,-0.026862026862026864,-0.13186813186813187,-0.14835164835164835
2016-08-15,0.045787545787545784,0.03785103785103785,0.02564102564102564,0.09768009768009767,-0.0989010989010989,0.2289377289377289,0.3308913308913309,0.40476190476190477,0.18681318681318682,-0.042735042735042736,-0.21550671550671552,-0.2087912087912088,-0.23015873015873015
2016-08-16,0.010378510378510378,-0.07142857142857142,-0.04395604395604395,0.016483516483516484,-0.11843711843711843,0.12454212454212454,0.2643467643467643,0.2771672771672771,0.13247863247863248,-0.19536019536019533,-0.3327228327228327,-0.22039072039072038,-0.31684981684981683
2016-08-17,0.10195360195360195,-0.20085470085470084,-0.1813186813186813,-0.1855921855921856,-0.24236874236874237,-0.030525030525030524,0.002442002442002442,0.11843711843711843,0.04151404151404151,-0.28083028083028083,-0.33760683760683763,-0.351037851037851,-0.37851037851037844
2016-08-18,0.13308913308913306,-0.18986568986568983,-0.199023199023199,-0.11233211233211234,-0.2222222222222222,-0.1336996336996337,-0.053113553113553105,0.05128205128205128,-0.09462759462759461,-0.23321123321123322,-0.3205128205128205,-0.3156288156288157,-0.24725274725274726
2016-08-19,0.04212454212454213,-0.22039072039072038,-0.18925518925518922,-0.17887667887667885,-0.24786324786324787,-0.21245421245421242,-0.1746031746031746,-0.05982905982905983,-0.2771672771672771,-0.1568986568986569,-0.13797313797313798,-0.22344322344322343,-0.20207570207570208
2016-08-22,0.031135531135531136,-0.10073260073260072,-0.12515262515262515,-0.07387057387057387,-0.17277167277167274,-0.1758241758241758,-0.16666666666666663,-0.04700854700854701,-0.13186813186813187,-0.07326007326007326,-0.08852258852258853,0.01282051282051282,-0.08485958485958486
2016-08-23,-0.05555555555555555,-0.1282051282051282,-0.20512820512820512,-0.13919413919413917,-0.29304029304029305,-0.2673992673992674,-0.25274725274725274,-0.16422466422466422,0.031135531135531136,-0.1282051282051282,-0.184981684981685,-0.016483516483516484,-0.2026862026862027
2016-08-24,-0.23294153835736262,-0.06441764691140696,-0.06258586548264658,-0.04854220786215027,-0.19569531597256806,-0.1712715635890962,-0.17646161097058402,-0.07785071072231647,-0.12975118453719411,0.017707220478017077,0.00030529690479339796,0.003968859762314173,-0.08914669619967219
2016-08-25,0.05067155067155067,0.1172161172161172,0.10561660561660562,0.10256410256410256,-0.005494505494505494,0.009768009768009768,-0.08424908424908426,0.02503052503052503,-0.2857142857142857,0.21733821733821732,0.13247863247863248,0.024420024420024417,0.03479853479853479
2016-08-26,-0.008547008547008548,-0.26373626373626374,0.004273504273504274,-0.14590964590964592,0.152014652014652,-0.3241758241758242,-0.37362637362637363,-0.37606837606837606,-0.05067155067155067,0.08424908424908426,0.12942612942612944,0.15018315018315015,0.11233211233211234
2016-08-29,0.163003663003663,-0.008547008547008548,0.13247863247863248,0.1398046398046398,0.09401709401709402,-0.20512820512820512,-0.1984126984126984,-0.12454212454212454,-0.06776556776556776,0.3339438339438339,0.2967032967032967,0.28937728937728935,0.06166056166056166
2016-08-30,0.10561660561660562,0.0018315018315018313,-0.14957264957264954,0.04212454212454213,-0.21733821733821732,-0.09462759462759461,-0.18864468864468864,-0.03235653235653236,-0.15079365079365079,0.1794871794871795,-0.06898656898656899,0.10561660561660562,-0.2313797313797314
2016-08-31,0.09218559218559218,0.054945054945054944,-0.34493284493284493,-0.07387057387057387,-0.36996336996337,-0.015262515262515262,-0.09523809523809523,-0.06593406593406594,-0.17399267399267399,-0.040903540903540904,-0.326007326007326,-0.07448107448107448,-0.44566544566544564
2016-09-01,0.10805860805860806,-0.20146520146520144,-0.3882783882783883,-0.26190476190476186,-0.36507936507936506,-0.007326007326007325,-0.0293040293040293,-0.07264957264957266,-0.23626373626373626,-0.2271062271062271,-0.3528693528693529,-0.13125763125763126,-0.30708180708180705
2016-09-02,0.14652014652014653,0.15262515262515264,0.19108669108669107,0.01587301587301587,-0.20024420024420023,-0.042735042735042736,-0.03540903540903541,-0.09584859584859586,-0.1398046398046398,0.24664224664224663,0.0293040293040293,0.051892551892551896,-0.18253968253968253
2016-09-06,0.32112332112332115,0.36446886446886445,0.1978021978021978,0.27838827838827834,0.043345543345543344,0.04151404151404151,-0.003052503052503052,-0.07081807081807082,0.004273504273504274,0.2496947496947497,0.10989010989010989,0.19230769230769232,0.04151404151404151
2016-09-07,0.24542124542124538,0.40170940170940167,0.06715506715506715,0.08363858363858362,-0.06532356532356533,0.22405372405372403,0.16483516483516483,0.13247863247863248,-0.013431013431013432,0.1111111111111111,0.017094017094017096,0.022588522588522588,-0.030525030525030524
2016-09-08,0.15506715506715504,0.3388278388278388,0.12942612942612944,0.27167277167277165,0.033577533577533576,0.2698412698412698,0.19658119658119658,0.19291819291819293,0.19047619047619047,0.1336996336996337,-0.005494505494505494,0.13675213675213677,-0.0231990231990232
2016-09-09,0.026862026862026864,0.30219780219780223,0.19719169719169719,0.31868131868131866,0.11782661782661781,0.03601953601953601,-0.0873015873015873,0.006715506715506716,0.1343101343101343,0.2661782661782661,0.15262515262515264,0.2948717948717948,0.09462759462759461
2016-09-12,-0.06288156288156288,0.08180708180708181,-0.14835164835164835,0.028083028083028084,-0.17277167277167274,0.14041514041514042,-0.13797313797313798,0.0,-0.22527472527472528,-0.006715506715506716,-0.07631257631257632,0.014041514041514042,-0.10561660561660562
2016-09-13,-0.010378510378510378,0.15995115995115994,-0.019536019536019536,0.017094017094017096,-0.24053724053724052,0.09157509157509157,-0.1398046398046398,-0.013431013431013432,-0.2564102564102564,0.03479853479853479,-0.04395604395604395,0.026862026862026864,-0.12942612942612944
2016-09-14,-0.12942612942612944,0.001221001221001221,-0.13553113553113552,-0.11172161172161171,-0.3827838827838828,0.021367521367521368,-0.235042735042735,-0.1758241758241758,-0.29242979242979245,-0.012210012210012208,-0.009768009768009768,-0.0463980463980464,-0.15567765567765565
2016-09-15,-0.21916971916971917,-0.09584859584859586,-0.14224664224664224,-0.15079365079365079,-0.3247863247863248,-0.03174603174603174,-0.15995115995115994,-0.2039072039072039,-0.2118437118437118,-0.1575091575091575,-0.03907203907203907,-0.03479853479853479,-0.16788766788766787
2016-09-16,-0.2264957264957265,-0.21855921855921853,-0.17765567765567764,-0.24175824175824176,-0.21062271062271062,-0.15384615384615385,-0.2081807081807082,-0.3321123321123321,-0.27106227106227104,-0.19352869352869354,-0.09829059829059829,-0.013431013431013432,-0.04151404151404151
2016-09-19,-0.06532356532356533,-0.26190476190476186,-0.2704517704517705,-0.25824175824175827,-0.2692307692307693,-0.04822954822954823,-0.1575091575091575,-0.2875457875457875,-0.25335775335775335,-0.3693528693528694,-0.2515262515262515,-0.16056166056166057,-0.1105006105006105
2016-09-20,0.033577533577533576,-0.31807081807081805,-0.49999999999999994,-0.43223443223443225,-0.31684981684981683,0.0018315018315018313,-0.29120879120879123,-0.22466422466422467,-0.38705738705738707,-0.48717948717948717,-0.34371184371184366,-0.3412698412698412,-0.10134310134310134
2016-09-21,0.14835164835164835,-0.2802197802197802,-0.4444444444444444,-0.46336996336996333,-0.28876678876678874,-0.16605616605616605,-0.46336996336996333,-0.32905982905982906,-0.4578754578754578,-0.34493284493284493,-0.13614163614163613,-0.22344322344322343,0.015262515262515262
2016-09-22,0.17704517704517705,-0.2539682539682539,-0.4725274725274725,-0.3724053724053724,-0.21794871794871792,-0.07997557997557997,-0.21306471306471303,-0.17887667887667885,-0.3778998778998779,-0.44627594627594624,-0.27350427350427353,-0.2271062271062271,-0.06715506715506715
2016-09-23,0.08913308913308912,-0.3119658119658119,-0.5256410256410257,-0.3962148962148962,-0.30097680097680096,-0.24114774114774112,-0.40109890109890106,-0.29426129426129427,-0.5268620268620269,-0.23382173382173382,-0.18315018315018314,-0.14163614163614163,0.052503052503052504
2016-09-26,0.09462759462759461,-0.3107448107448107,-0.4536019536019536,-0.4792429792429792,-0.3156288156288157,-0.2954822954822955,-0.40415140415140416,-0.4029304029304029,-0.5634920634920634,-0.1746031746031746,-0.0006105006105006105,-0.14652014652014653,0.16361416361416362
2016-09-27,0.05555555555555555,-0.20146520146520144,-0.3919413919413919,-0.4652014652014652,-0.20024420024420023,-0.16971916971916973,-0.3778998778998779,-0.3498168498168498,-0.525030525030525,-0.07997557997557997,-0.04456654456654456,-0.1343101343101343,0.1581196581196581
2016-09-28,0.12454212454212454,-0.3125763125763126,-0.4426129426129426,-0.42490842490842484,-0.2588522588522589,-0.12698412698412695,-0.25213675213675213,-0.29853479853479853,-0.34065934065934067,-0.235042735042735,-0.24542124542124538,-0.21306471306471303,-0.02564102564102564
2016-09-29,0.11782661782661781,-0.5372405372405372,-0.6336996336996337,-0.5958485958485958,-0.37973137973137966,-0.2576312576312576,-0.37362637362637363,-0.38461538461538464,-0.31868131868131866,-0.5146520146520146,-0.3565323565323565,-0.24297924297924298,-0.14285714285714285
2016-09-30,0.2588522588522589,-0.4065934065934066,-0.40170940170940167,-0.5457875457875457,-0.199023199023199,0.024420024420024417,-0.11843711843711843,-0.15995115995115994,-0.16971916971916973,-0.5677655677655677,-0.42918192918192916,-0.49084249084249076,-0.29120879120879123
2016-10-03,0.11355311355311355,-0.26373626373626374,-0.2045177045177045,-0.3473748473748474,-0.028083028083028084,0.14835164835164835,0.03235653235653236,-0.05616605616605617,-0.006715506715506716,-0.3663003663003663,-0.2753357753357753,-0.3223443223443223,-0.18376068376068375
2016-10-04,-0.04456654456654456,-0.13186813186813187,-0.16910866910866912,-0.3315018315018315,-0.08424908424908426,0.031135531135531136,0.09523809523809523,0.05372405372405373,-0.021978021978021976,-0.39438339438339437,-0.2954822954822955,-0.4981684981684982,-0.2032967032967033
2016-10-05,-0.19658119658119658,-0.2979242979242979,-0.39438339438339437,-0.2673992673992674,-0.3540903540903541,-0.0879120879120879,-0.07692307692307693,0.13308913308913306,-0.2564102564102564,-0.45604395604395603,-0.4597069597069597,-0.5372405372405372,-0.2875457875457875
2016-10-06,-0.33333333333333326,-0.35958485958485964,-0.3137973137973138,-0.3803418803418803,-0.3302808302808303,-0.17887667887667885,-0.1813186813186813,-0.19658119658119658,-0.34065934065934067,-0.3492063492063492,-0.29853479853479853,-0.4706959706959707,-0.2771672771672771
2016-10-07,-0.24542124542124538,-0.15323565323565325,-0.2936507936507936,-0.27472527472527475,-0.3064713064713065,-0.006105006105006104,-0.17338217338217338,-0.14652014652014653,-0.4487179487179487,-0.31440781440781446,-0.34249084249084244,-0.3327228327228327,-0.23809523809523808
2016-10-10,-0.18315018315018314,-0.17765567765567764,-0.3253968253968254,-0.29181929181929184,-0.3107448107448107,0.028083028083028084,-0.2857142857142857,-0.16117216117216115,-0.4133089133089133,-0.34065934065934067,-0.33333333333333326,-0.3327228327228327,-0.21245421245421242
2016-10-11,-0.026251526251526252,-0.2399267399267399,-0.41086691086691085,-0.3833943833943834,-0.3766788766788767,0.11233211233211234,-0.2539682539682539,-0.2283272283272283,-0.3626373626373626,-0.40415140415140416,-0.34432234432234426,-0.3473748473748474,-0.3217338217338217
2016-10-12,-0.06043956043956044,-0.24725274725274726,-0.4163614163614164,-0.40048840048840045,-0.5256410256410257,-0.007936507936507934,-0.26373626373626374,-0.26495726495726496,-0.32112332112332115,-0.2765567765567765,-0.3137973137973138,-0.3327228327228327,-0.5079365079365078
2016-10-13,0.3327228327228327,0.007936507936507934,-0.3046398046398046,-0.19230769230769232,-0.35836385836385837,0.12759462759462756,-0.46336996336996333,-0.33333333333333326,-0.34859584859584863,-0.07509157509157507,-0.14468864468864467,-0.14590964590964592,-0.1862026862026862
2016-10-14,0.10866910866910866,0.0293040293040293,-0.16788766788766787,-0.19108669108669107,-0.17155067155067155,0.13553113553113552,-0.36996336996337,-0.30586080586080583,-0.31318681318681324,-0.043345543345543344,-0.0879120879120879,-0.11355311355311355,-0.05006105006105006
2016-10-17,0.11660561660561661,-0.02503052503052503,-0.21062271062271062,-0.21001221001221002,-0.1916971916971917,0.17826617826617824,-0.18864468864468864,-0.18437118437118435,-0.31807081807081805,-0.163003663003663,-0.2313797313797314,-0.2118437118437118,-0.07814407814407814
2016-10-18,0.09340659340659341,-0.10500610500610501,-0.14163614163614163,-0.22344322344322343,-0.05006105006105006,0.06593406593406594,-0.06776556776556776,-0.29609279609279604,-0.045787545787545784,-0.16788766788766787,-0.09584859584859586,-0.11660561660561661,-0.07814407814407814
2016-10-19,0.16056166056166057,-0.08547008547008547,-0.10012210012210011,-0.18742368742368742,-0.014041514041514042,0.10134310134310134,0.12576312576312576,-0.07264957264957266,0.027472527472527472,-0.0927960927960928,-0.09523809523809523,-0.16117216117216115,-0.06166056166056166
2016-10-20,0.13858363858363856,-0.03663003663003663,0.04884004884004883,-0.0873015873015873,0.06288156288156288,-0.02564102564102564,0.06959706959706959,0.028083028083028084,0.16971916971916973,-0.03785103785103785,-0.018315018315018316,-0.09584859584859586,0.021978021978021976
2016-10-21,0.056776556776556776,0.045177045177045176,0.17155067155067155,-0.054945054945054944,0.22466422466422467,0.08547008547008547,0.12637362637362637,-0.003052503052503052,0.15079365079365079,-0.05372405372405373,0.14346764346764346,-0.07814407814407814,0.1758241758241758
2016-10-24,0.054945054945054944,0.13247863247863248,0.22344322344322343,0.08547008547008547,0.24786324786324787,0.1398046398046398,0.08180708180708181,0.028083028083028084,0.21611721611721613,0.031135531135531136,0.05738705738705738,0.018315018315018316,0.2032967032967033
2016-10-25,0.07387057387057387,0.5415140415140415,0.43101343101343104,0.3247863247863248,0.38217338217338215,0.29853479853479853,0.12515262515262515,0.1282051282051282,0.09768009768009767,0.38461538461538464,0.3919413919413919,0.29304029304029305,0.35347985347985345
2016-10-26,0.031135531135531136,0.05738705738705738,-0.22039072039072038,-0.03174603174603174,-0.08241758241758242,0.23382173382173382,-0.026251526251526252,0.020757020757020756,-0.16910866910866912,-0.15934065934065933,-0.21855921855921853,-0.07326007326007326,-0.05067155067155067
2016-10-27,0.08363858363858362,-0.2118437118437118,-0.3473748473748474,-0.28205128205128205,-0.3473748473748474,0.23382173382173382,0.08608058608058607,0.15567765567765565,-0.006715506715506716,-0.4536019536019536,-0.49267399267399264,-0.3663003663003663,-0.40964590964590963
