feature,ic_mean,ic_std,icir,n_days,n_eff,t_stat,p_value
volume__obv_zvel26_52,-0.01459829606168324,0.1141044263185906,-0.12793803476933827,2553,121.57142857142857,-1.4106375342014175,0.16092634523696084
volatility__vol20,0.01724573943520299,0.13827828063816852,0.1247176299532517,2553,121.57142857142857,1.3751295328702648,0.1716410956514038
momentum__cmf_short_velocity,-0.012804924421860112,0.11412426629730149,-0.11220159250358211,2553,121.57142857142857,-1.2371284119541426,0.21844347254250293
momentum__stochastic_long_velocity,-0.015103125197470832,0.1365877624458055,-0.11057451214535681,2553,121.57142857142857,-1.2191883159646066,0.22515251478838327
momentum__willr_long_velocity,-0.015103125197470832,0.1365877624458055,-0.11057451214535681,2553,121.57142857142857,-1.2191883159646066,0.22515251478838327
momentum__rsi_long_velocity,-0.014169496907117558,0.1312040314879568,-0.10799589575430213,2553,121.57142857142857,-1.1907566375033358,0.23608815158873211
volatility__vol_park20,0.01529961294429944,0.14435680409507715,0.10598470255841018,2553,121.57142857142857,1.1685813350940821,0.24487767284264444
volume__ad_zvel26_52,-0.011382105843141574,0.10794656053216885,-0.105442042683237,2553,121.57142857142857,-1.1625979980074646,0.24728859849117685
momentum__mfi_long_velocity,-0.01187705570322045,0.1185029049313174,-0.10022586121499909,2553,121.57142857142857,-1.105084676206263,0.27132321588232816
volatility__vol100,0.01370750303763459,0.1372642302887769,0.09986216371735522,2553,121.57142857142857,1.1010745681707867,0.27305749182203987
trend__acceleration_12/26,-0.014355668801176415,0.14401356730885745,-0.09968275260058418,2553,121.57142857142857,-1.0990963913461504,0.2739158273791872
volatility__vol_park7,0.01375057490531791,0.13847226802817983,0.09930201260601579,2553,121.57142857142857,1.0948983737036397,0.275743536621254
volatility__vol7,0.012338977153485904,0.13404489726686375,0.0920510769531257,2553,121.57142857142857,1.0149499673639062,0.31216204837064904
momentum__stochastic_short_velocity,-0.012341986742731988,0.1394469472032521,-0.08850668293758213,2553,121.57142857142857,-0.9758696794468767,0.33108292556482566
momentum__willr_short_velocity,-0.012341986742731988,0.1394469472032521,-0.08850668293758213,2553,121.57142857142857,-0.9758696794468767,0.33108292556482566
momentum__cci_long_velocity,-0.011228357261582458,0.1375644328338598,-0.08162253156775809,2553,121.57142857142857,-0.8999654158640721,0.3699326191769827
momentum__rsi_short_velocity,-0.011011511314537892,0.13643954898615407,-0.08070615445713138,2553,121.57142857142857,-0.8898614936796827,0.37531234248277273
volatility__vol_rs100,0.01178300106513875,0.14629783929953985,0.08054118312037033,2553,121.57142857142857,0.8880425290526109,0.3762860032106475
candle__body_log,-0.010944544193639228,0.13609202853132985,-0.08042017090750966,2553,121.57142857142857,-0.8867082552389965,0.37700121977927875
momentum__mfi_short_velocity,-0.009929715236785352,0.12350790967503752,-0.08039740339636134,2553,121.57142857142857,-0.8864572219489817,0.3771358770484863
volatility__vol_rs7,0.00893733730306326,0.1339917792794059,0.06670063903268804,2553,121.57142857142857,0.7354374728701059,0.4635012996138417
volatility__vol_rs20,0.009412062031442858,0.14185945258758795,0.06634779607394573,2553,121.57142857142857,0.7315470463665413,0.46586450885104314
candle__range_log,0.008211052868192537,0.12470657142313274,0.06584298465180487,2553,121.57142857142857,0.7259810241820569,0.4692572979073282
momentum__cci_short_velocity,-0.00861059456723304,0.14158689916514014,-0.06081491026362585,2553,121.57142857142857,-0.6705417604047926,0.5037948760547533
volatility__vol_park100,0.008647018507049112,0.1470193778617058,0.05881550196180911,2553,121.57142857142857,0.6484963975709673,0.5178971252166014
momentum__cmf_long_acceleration,-0.006673419911482054,0.11635724619833553,-0.05735285192386683,2553,121.57142857142857,-0.6323693009914207,0.5283429533077145
