group,panel,grouping,market_mean_corr,size,mean_corr,top_eig,top_eig_share,n_signal,sigma2,lam_plus,p_mean_corr,null_mean_mean_corr,null_std_mean_corr,p_top_eig_share,null_mean_top_eig_share,null_std_top_eig_share,p_n_signal,null_mean_n_signal,null_std_n_signal
Communication Services,kalman,sector,0.19736278252063896,29,0.16711856905633626,7.639309597643544,0.26342446898434946,26,0.11809988375197107,0.15492192661956647,0.7475083056478405,0.1989144060584486,0.04351570445646115,0.8205980066445183,0.3123016823369978,0.05167740913398297,0.9169435215946844,26.903333333333332,0.9506144231463503
Consumer Cyclical,kalman,sector,0.19736278252063896,53,0.29855698269032077,19.929571922049377,0.3760296590738998,47,0.026567686100624252,0.03803290227970239,0.0033222591362126247,0.19603354143102394,0.03017307968659326,0.023255813953488372,0.3033367459683605,0.03451067420096076,0.9800664451827242,49.55,1.4814911587693345
Consumer Defensive,kalman,sector,0.19736278252063896,24,0.12949643648613912,5.616152392671521,0.23400634982828636,23,0.07085915963380146,0.09083461555547022,0.9534883720930233,0.20131393477591328,0.046663464620735694,0.9501661129568106,0.31629556457393154,0.05023769422708642,0.42524916943521596,22.213333333333335,0.8307361981954295
Energy,kalman,sector,0.19736278252063896,29,0.3759383640030835,15.344142065490985,0.5291083472410333,28,0.001175580617153705,0.0015421117135776294,0.0033222591362126247,0.1989144060584486,0.04351570445646115,0.0033222591362126247,0.3123016823369978,0.05167740913398297,0.30564784053156147,26.903333333333332,0.9506144231463503
Financial Services,kalman,sector,0.19736278252063896,117,0.325662885500234,48.086254591969464,0.410993629259421,107,0.005899181675713715,0.009846008759452844,0.0033222591362126247,0.19752947492101555,0.019116368548640277,0.0033222591362126247,0.29881148490838333,0.024926366090599297,0.4850498338870432,106.79666666666667,3.3921987357905814
Healthcare,kalman,sector,0.19736278252063896,70,0.11790361109617818,15.360021666638477,0.21942888104916805,69,0.005343432947494579,0.00802889623816621,1.0,0.19679806964707752,0.02517698776822903,1.0,0.30248644627791993,0.0307956020001909,0.046511627906976744,65.27,2.032454074565374
Industrials,kalman,sector,0.19736278252063896,77,0.27204600994839123,23.195319936241546,0.301237921371319,70,0.039040688997638226,0.059721031533023466,0.0033222591362126247,0.19708530650737743,0.022575995891271797,0.47840531561461797,0.29939047529748575,0.02920258514240944,0.8338870431893688,71.64,2.2966603644055508
Real Estate,kalman,sector,0.19736278252063896,44,0.2472616589624585,13.718408813786407,0.31178201869880756,43,0.0083726431608877,0.011638626815758026,0.07973421926910298,0.1979949835654023,0.03451461050737324,0.4219269102990033,0.3067043419163167,0.03816307712237146,0.11960132890365449,41.06666666666667,1.246623086296139
Technology,kalman,sector,0.19736278252063896,80,0.23008472492417947,26.079187485787074,0.32598984372387696,73,0.012298846017810297,0.01895296390190298,0.07641196013289037,0.19417418158081146,0.024081756864787383,0.16611295681063123,0.29736213415186424,0.02923256407500756,0.7541528239202658,74.29,2.3217525960051937
Utilities,kalman,sector,0.19736278252063896,15,0.16697715581379852,4.104775515269276,0.2736517011894733,14,0.04724765556452187,0.057640734510723525,0.6843853820598007,0.19984443864430654,0.0650170715801567,0.8172757475083057,0.33584289247611354,0.06626644186801442,0.6079734219269103,13.53,0.6712689525733804
cap_large,kalman,cap,0.19736278252063896,190,0.1875582379905154,47.89760734658851,0.25209267038347677,168,0.009359868032415238,0.01761883485059774,0.7807308970099668,0.1975564034061521,0.01285830664234282,0.9933554817275747,0.2965687998468424,0.016759048762111334,0.2591362126245847,165.18666666666667,4.069441822253339
cap_mid,kalman,cap,0.19736278252063896,190,0.22486350187331813,61.43103268814883,0.32332122483012077,163,0.006991102204936278,0.013159915796445015,0.026578073089700997,0.1975564034061521,0.01285830664234282,0.053156146179401995,0.2965687998468424,0.016759048762111334,0.7441860465116279,165.18666666666667,4.069441822253339
cap_small,kalman,cap,0.19736278252063896,190,0.19947773303179853,61.64956483433515,0.32447139401451885,164,0.00634897818351241,0.011951193937558991,0.42524916943521596,0.1975564034061521,0.01285830664234282,0.04983388704318937,0.2965687998468424,0.016759048762111334,0.6245847176079734,165.18666666666667,4.069441822253339
