group,panel,grouping,market_mean_corr,size,mean_corr,top_eig,top_eig_share,n_signal,sigma2,lam_plus,p_mean_corr,null_mean_mean_corr,null_std_mean_corr,p_top_eig_share,null_mean_top_eig_share,null_std_top_eig_share,p_n_signal,null_mean_n_signal,null_std_n_signal
cap_mid,raw,cap,0.23112271363918832,284,0.24713507409109556,77.1547226255841,0.2716715585408214,168,0.045376494048447694,0.09634598800123535,0.013289036544850499,0.23083398581469297,0.006776608951428654,0.016611295681063124,0.2552042991395018,0.007136881627366876,0.11960132890365449,165.29666666666665,1.8957765651147682
cap_small,raw,cap,0.23112271363918832,285,0.24219121282153075,76.35874209804325,0.26792541087035937,163,0.057439145600240264,0.12209274650093044,0.053156146179401995,0.2310749439077614,0.0062790388430959305,0.03986710963455149,0.2554345963248101,0.006653192123059662,0.9269102990033222,165.42333333333335,1.8910426656830532
Basic Materials,kalman,sector,0.23107516245775317,48,0.3013031273068083,15.789037130999038,0.3289382735625192,41,0.09444493513225016,0.13328001971679693,0.006644518272425249,0.23059792057840856,0.020155340545288256,0.006644518272425249,0.2664261901604015,0.020765448788783333,0.07308970099667775,36.78333333333333,2.281902529191667
Communication Services,kalman,sector,0.23107516245775317,43,0.2163244297177731,10.568211882972257,0.245772369371477,32,0.2798333167103432,0.388240398041733,0.8039867109634552,0.23014758834493165,0.01774694791587177,0.8903654485049833,0.2678201108218704,0.018220623711173285,0.7541528239202658,33.14666666666667,2.291139444775658
Consumer Cyclical,kalman,sector,0.23107516245775317,91,0.29865264042610085,29.23444748910373,0.3212576647154644,68,0.10771875306105945,0.17068009231340278,0.0033222591362126247,0.23130101373125256,0.01424873542924702,0.0033222591362126247,0.26068153413815015,0.01512341018766499,0.40863787375415284,67.22666666666667,1.9341904070328102
Consumer Defensive,kalman,sector,0.23107516245775317,36,0.1995850080376523,8.779582924583643,0.24387730346068542,26,0.2768941929744325,0.374362457901028,0.9368770764119602,0.23145889186626495,0.023074269412593176,0.9069767441860465,0.2724640206141998,0.023333159313133133,0.8770764119601329,27.91,2.184293277869485
Energy,kalman,sector,0.23107516245775317,43,0.38724122540004074,18.093745794151914,0.4207847859105616,42,0.019520465813170036,0.027082670163645503,0.0033222591362126247,0.23014758834493165,0.01774694791587177,0.0033222591362126247,0.2678201108218704,0.018220623711173285,0.006644518272425249,33.14666666666667,2.291139444775658
Financial Services,kalman,sector,0.23107516245775317,165,0.4116408449949883,74.30876168661104,0.45035613143406084,116,0.04251661210399786,0.07730793899670417,0.0033222591362126247,0.2315304153461083,0.009741241302976402,0.0033222591362126247,0.2576766527670869,0.010227548985736048,0.08970099667774087,113.15,1.803239374238117
Healthcare,kalman,sector,0.23107516245775317,111,0.19060289570591823,23.139759435101595,0.2084663012171559,79,0.13264578877875693,0.21929849843098315,1.0,0.23145535918568252,0.012374018447285806,1.0,0.2594341240895657,0.01287998155108085,0.8637873754152824,80.35333333333334,1.777362920751536
Industrials,kalman,sector,0.23107516245775317,110,0.30701045079772965,36.473415745814805,0.3315765067801742,79,0.1033058529736249,0.17044924002206568,0.0033222591362126247,0.2311262243293089,0.012139895381154451,0.0033222591362126247,0.25939936399844954,0.012420283260054076,0.7674418604651163,79.83,1.8400323539397752
Real Estate,kalman,sector,0.23107516245775317,62,0.4279428686995787,27.64236424838314,0.44584458465139537,45,0.10448680035916906,0.1538888801305839,0.0033222591362126247,0.23249578285925465,0.017654547272053407,0.0033222591362126247,0.2655030774542764,0.018218729886922982,0.8604651162790697,46.803333333333335,2.160295925060964
Technology,kalman,sector,0.23107516245775317,117,0.3210331298614506,39.66448504016236,0.3390126926510002,86,0.08623043195371476,0.14425695210311015,0.0033222591362126247,0.23031115427092555,0.012811455550452815,0.0033222591362126247,0.25797839571343295,0.013342422976385226,0.2691029900332226,84.25333333333333,1.8976721055782675
Utilities,kalman,sector,0.23107516245775317,27,0.36350089589729706,11.193775908006998,0.4145842928891994,20,0.19257644197910243,0.25069064720245066,0.0033222591362126247,0.22746644411000141,0.024290450556221067,0.0033222591362126247,0.2751301053386866,0.024624227230740633,0.7475083056478405,20.993333333333332,1.9526045265266243
cap_large,kalman,cap,0.23107516245775317,284,0.2369336708101799,73.4839703367426,0.25874637442518084,164,0.044690584527987194,0.09488962536648303,0.17275747508305647,0.23078447389110265,0.006782053670469164,0.29900332225913623,0.25519548077365894,0.007141650229215124,0.9700996677740864,166.61666666666667,1.8801165788471048
cap_mid,kalman,cap,0.23107516245775317,284,0.2470325361980358,77.13350008814561,0.27159683129631984,168,0.04416402007524232,0.09377159336533572,0.013289036544850499,0.23078447389110265,0.006782053670469164,0.016611295681063124,0.25519548077365894,0.007141650229215124,0.292358803986711,166.61666666666667,1.8801165788471048
cap_small,kalman,cap,0.23107516245775317,285,0.24223108791531306,76.38640296985037,0.2680224665609108,164,0.05476497358920416,0.11640852188318214,0.04983388704318937,0.23102737359272954,0.006285540283814982,0.036544850498338874,0.2554272946795579,0.00665916632376229,0.9534883720930233,166.79333333333332,1.866073325034032
