horizon,feature,ic_mean,ic_std,icir,n_days,n_eff,t_stat,p_value
1,momentum__cmf_short_acceleration,0.0031253340935818393,0.3494794841895427,0.0089428256449148,2551,2551.0,0.45167909730764294,0.6515385914524625
1,momentum__rsi_short_velocity,-0.003196607391040944,0.3630595063862143,-0.008804637627751489,2551,2551.0,-0.4446995763676869,0.6565746160306356
1,momentum__mfi_long_acceleration,0.0028402409037454122,0.35270136057494433,0.008052820944936217,2551,2551.0,0.4067272514987653,0.6842424565343955
1,momentum__willr_short_velocity,-0.0027475856170485723,0.36340794863873516,-0.007560609577585092,2551,2551.0,-0.38186692268131417,0.7025918947702846
1,momentum__willr_short_raw,-0.0027083853034460654,0.36915937560262657,-0.007336628790816481,2551,2551.0,-0.3705542298481011,0.7110003552475048
1,momentum__rsi_long_raw,-0.0022308542104700463,0.367774951062523,-0.006065813356850379,2551,2551.0,-0.3063686143782494,0.7593490138726463
1,momentum__willr_long_acceleration,-0.0021381989237732077,0.3623443570948645,-0.005901013447308663,2551,2551.0,-0.2980449952746487,0.7656931032137931
1,momentum__willr_short_acceleration,-0.002177399237375718,0.3697979168890937,-0.005888078699017504,2551,2551.0,-0.2973916944428949,0.7661917079107671
1,momentum__mfi_long_raw,-0.0018744877231745103,0.35848460930345244,-0.005228921059726113,2551,2551.0,-0.2640993392835532,0.791724714292753
1,momentum__cci_long_acceleration,-0.0017925234310965396,0.3629415741965872,-0.0049388760024653994,2551,2551.0,-0.24944991025028584,0.8030328733838284
1,momentum__rsi_long_velocity,0.0017069954741456117,0.36073248095151167,0.004732025986800617,2551,2551.0,0.2390024485571611,0.8111228902766322
1,momentum__cmf_long_velocity,-0.0015929581982110392,0.35391299108441576,-0.004500988204276132,2551,2551.0,-0.22733332503869483,0.8201827856987457
1,momentum__cci_long_raw,-0.0014611025979116927,0.36784789788318895,-0.003972029217292604,2551,2551.0,-0.20061696857150338,0.8410140874398543
1,momentum__willr_long_velocity,-0.0010584084672677371,0.35910728642431183,-0.0029473321964766518,2551,2551.0,-0.1488621604433628,0.881674170947109
1,trend__rel_26,0.0009978261644274977,0.37929824869544293,0.0026307165083398554,2551,2551.0,0.13287071725869265,0.8943061094652083
1,momentum__cci_long_velocity,0.0002138198923773217,0.35754363682985746,0.0005980246055366694,2551,2551.0,0.030204683029927896,0.9759061774106386
1,trend__adx,0.00017818324364776895,0.34421604710486287,0.0005176494389103444,2551,2551.0,0.026145140313876686,0.9791436183658889
1,momentum__cmf_short_raw,-0.00010334628131570509,0.34671393808713713,-0.0002980736277459137,2551,2551.0,-0.015054931456485012,0.9879895341026707
5,momentum__rsi_long_acceleration,0.030800755496953065,0.35625429393717556,0.08645721896164624,2551,510.2,1.9528617033827451,0.05138340769193993
5,momentum__cmf_long_acceleration,0.027080289369587687,0.348117089849993,0.07779074960455645,2551,510.2,1.7571068975462467,0.07950054242803296
5,trend__velocity_52/104,0.02853070097288051,0.3806964318532194,0.07494344203331214,2551,510.2,1.6927930324877205,0.09110654490823152
5,momentum__mfi_long_acceleration,0.022511671002458922,0.3461765751772395,0.0650294462903307,2551,510.2,1.4688595906480435,0.14248837164284142
5,trend__rel_104,0.021816756352232635,0.3690193444989015,0.0591209015935412,2551,510.2,1.3353997037853385,0.1823421921834157
5,momentum__cmf_short_acceleration,0.019101243719040657,0.3511471077141028,0.05439669955815932,2551,510.2,1.2286912837743644,0.21975512086126625
5,volume__obv_zvel26_52,-0.017579558818288727,0.3414188608841672,-0.05148971199998505,2551,510.2,-1.1630293906120708,0.24536231522396718
5,volume__ad_zvel12_26,-0.01791454331634653,0.3495136698033877,-0.05125562993408531,2551,510.2,-1.1577420368498927,0.2475120761349875
5,volume__obv_zvel12_26,-0.017422757563878694,0.3447468694465331,-0.05053782675923848,2551,510.2,-1.1415285806739917,0.25418656172547505
5,trend__acceleration_26/52,-0.016467695377926663,0.3837930552332316,-0.04290774716577198,2551,510.2,-0.9691833397467651,0.3329138382064147
5,volume__ad_zvel26_52,-0.01456113467089555,0.34436536018231567,-0.042283970324966835,2551,510.2,-0.9550937134726901,0.33998350031551633
5,momentum__willr_long_acceleration,0.014924628487936993,0.3650479963092587,0.040884017002775865,2551,510.2,0.923472117702382,0.35619860467616504
5,momentum__rsi_short_acceleration,0.013449271230533482,0.3561446938084751,0.03776350304903359,2551,510.2,0.8529871741855414,0.39406746027406603
