variant,causal,horizon,split,n_features,mean_abs_ic,mean_abs_icir,top5_mean_abs_icir,n_sig_t2,best_feature,best_icir,n_signal,lam_plus,top_eig_share
raw+hpca,True,5,train,20,0.007143721266993139,0.04484235635593164,0.1015812291537126,3,hpc2_pc9,0.12106694404676895,3,1.1967,0.0924
signal+demean+hpca,True,5,train,19,0.008996325662336135,0.05348232712881583,0.09921294258131445,4,hpc1_pc1,-0.11619781780572248,6,1.1915,0.3033
demean+hpca,True,5,train,22,0.007257136246540479,0.04554562563128342,0.09899742649987951,3,hpc1_pc9,-0.11055674280970731,2,1.2067,0.0834
kalman+hpca,True,5,train,20,0.007034072962624251,0.0436822363590159,0.09468718557787068,3,hpc2_pc6,0.12886971847248951,3,1.1967,0.0925
kalman+zca,True,5,train,62,0.0056489031338802995,0.03789624222428007,0.09273440351450785,1,trend__acc52_104,-0.12463502723373517,5,1.3582,0.0453
raw+pca,True,5,train,20,0.006658634191692883,0.041324632710530544,0.0882982674441968,2,pc14,0.11823607590209195,0,1.1967,0.05
kalman+pca,True,5,train,16,0.006638669202033212,0.04073031585288945,0.0799103776016101,2,pc1,-0.10126254696919387,0,1.1751,0.0625
ssa+zca,False,10,train,62,0.06746929004751559,0.4389478211712259,1.9658749707764787,43,trend__rel6,3.7192646406944307,0,1.3582,0.0161
ssa+none,False,10,train,62,0.0712872670220977,0.4326599615677983,1.6466737358448618,36,trend__rel6,2.440376861699145,6,1.3582,0.3154
ssa+hpca,False,10,train,23,0.0809077514714335,0.5169295120456955,1.0670094264841432,17,trend__minus_di,-1.3038120916507037,7,1.2116,0.1153
ssa+pca,False,10,train,15,0.06996289720142727,0.4688197828986513,0.8697228848747969,12,pc11,-1.4329990720479437,0,1.1693,0.0667
signal+demean,True,10,train,62,0.01400657692388921,0.08394386154055691,0.16460330528191702,14,volume__ad_zvel12_26,-0.176461086049434,7,1.3582,0.3572
raw+none,True,10,train,62,0.012953624923934747,0.078955711930385,0.15589133505375125,12,volume__ad_zvel12_26,-0.1618412205044486,7,1.3582,0.3006
kalman+none,True,10,train,62,0.013142594846891802,0.08012825805544942,0.15589133505375125,12,volume__ad_zvel12_26,-0.1618412205044486,8,1.3582,0.3045
demean,True,10,train,62,0.012953624923934747,0.078955711930385,0.15589133505375125,12,volume__ad_zvel12_26,-0.1618412205044486,7,1.3582,0.291
volnorm_cs,True,10,train,62,0.012953624923934747,0.078955711930385,0.15589133505375125,12,volume__ad_zvel12_26,-0.1618412205044486,7,1.3582,0.3006
kalman+zca,True,10,train,62,0.007730689276930329,0.05242619370018828,0.1373979051436239,2,trend__acc52_104,-0.17026580812754796,5,1.3582,0.0453
demean+zca,True,10,train,62,0.007988115594773236,0.053651351282055455,0.1347069305961451,2,trend__acc52_104,-0.16544672882665998,6,1.3582,0.0453
signal+demean+hpca,True,10,train,19,0.010150920220482376,0.06206330085982105,0.13303136098346685,2,hpc1_pc1,-0.16873710946862738,6,1.1915,0.3033
raw+zca,True,10,train,62,0.007756742550464975,0.052463185654684115,0.13262017890926375,2,trend__acc52_104,-0.17135062790348243,6,1.3582,0.0453
raw+hpca,True,10,train,20,0.008424721861784387,0.05384891259844242,0.1153528534750023,1,hpc2_pc1,-0.1573205120110472,3,1.1967,0.0924
demean+hpca,True,10,train,22,0.00876577251964326,0.05618129608986273,0.11256141316573036,1,hpc1_pc1,-0.15527639254940123,2,1.2067,0.0834
kalman+hpca,True,10,train,20,0.00868541195030995,0.05557974344246588,0.10627310799288484,1,hpc2_pc1,-0.1569847932518211,3,1.1967,0.0925
raw+pca,True,10,train,20,0.007336059858397333,0.04682517359065945,0.10504555479805244,1,pc1,-0.15355706124597754,0,1.1967,0.05
kalman+pca,True,10,train,16,0.0077624413270369575,0.04917435265965352,0.09688470704310423,1,pc1,-0.15305166525447964,0,1.1751,0.0625
ssa+zca,False,21,train,62,0.06166429524187871,0.4084072483686965,1.7446853277495495,32,momentum__rsi_short_position,-2.9684206753263296,0,1.3582,0.0161
ssa+none,False,21,train,62,0.03045441411811976,0.18368537407563376,0.761943435908388,16,trend__rel6,1.1544671025418565,6,1.3582,0.3154
ssa+hpca,False,21,train,23,0.04114901441293288,0.26454044901360363,0.5922029004606951,11,hpc7_pc6,0.7109551355661102,7,1.2116,0.1153
ssa+pca,False,21,train,15,0.03685308668543914,0.25136760753330073,0.5121969089842412,6,pc11,-0.9884503630978564,0,1.1693,0.0667
raw+none,True,21,train,62,0.01800864064436185,0.11161489329877113,0.23800448607008295,9,volume__price_zvel12_26,-0.26802046695701087,7,1.3582,0.3006
kalman+none,True,21,train,62,0.01830898907426597,0.11324573849275547,0.23800448607008295,9,volume__price_zvel12_26,-0.26802046695701087,8,1.3582,0.3045
