feature,ic_mean,ic_std,icir,n_days,n_eff,t_stat,p_value
momentum__cmf_long_velocity,-0.014223139353405155,0.10436432324796209,-0.13628353934334442,2553,121.57142857142857,-1.502654595548088,0.13554278058422492
trend__acceleration_12/26,-0.015082513872189993,0.11261827560699969,-0.13392598839661643,2553,121.57142857142857,-1.4766603721707912,0.1423737890541515
volatility__vol_park20,0.01640237354848674,0.12540718022401529,0.13079293800552028,2553,121.57142857142857,1.4421155357881403,0.15186232330202415
volatility__vol_park100,0.016741379931118936,0.1297359591213399,0.129041940603846,2553,121.57142857142857,1.4228091374872431,0.1573736691699031
volatility__vol_park7,0.013702491532873845,0.121507749289125,0.1127705155682628,2553,121.57142857142857,1.2434013254826206,0.21613225409748746
momentum__stochastic_long_velocity,-0.011922576091234767,0.11094827965147462,-0.10746066661590009,2553,121.57142857142857,-1.184855231300017,0.23840489770720846
momentum__willr_long_velocity,-0.011922576091234767,0.11094827965147462,-0.10746066661590009,2553,121.57142857142857,-1.184855231300017,0.23840489770720846
momentum__rsi_long_velocity,-0.011224408029677124,0.10676070743756852,-0.10513613387435568,2553,121.57142857142857,-1.1592250647853086,0.24865508213702364
candle__range_log,0.011367758476812479,0.11084035107384572,0.10255974802207979,2553,121.57142857142857,1.130817980118436,0.26037604088909116
momentum__cmf_short_velocity,-0.009386296397448087,0.09946604839324755,-0.09436683721804812,2553,121.57142857142857,-1.0404834090476194,0.3001973061880454
momentum__mfi_long_acceleration,-0.009174244152646976,0.10078323937686262,-0.091029462928269,2553,121.57142857142857,-1.0036857089162314,0.31754018445994464
momentum__stochastic_short_velocity,-0.009968898426733678,0.11047028461655667,-0.09024054261592439,2553,121.57142857142857,-0.9949871181797576,0.32173517844516786
momentum__willr_short_velocity,-0.009968898426733678,0.11047028461655667,-0.09024054261592439,2553,121.57142857142857,-0.9949871181797576,0.32173517844516786
momentum__rsi_short_velocity,-0.008531375139953763,0.10550308860018635,-0.08086374771722743,2553,121.57142857142857,-0.8915991080508076,0.37438370032308277
momentum__rsi_long_acceleration,-0.008251348576489768,0.10515149779348652,-0.07847105128920842,2553,121.57142857142857,-0.8652173725848962,0.3886377358120694
momentum__cci_long_velocity,-0.007813792733252726,0.10607187451950745,-0.07366507633289453,2553,121.57142857142857,-0.812226964579714,0.4182621507148969
candle__body_log,-0.00794674002718116,0.11453453160942985,-0.06938291810787735,2553,121.57142857142857,-0.7650121302226817,0.44575911653173
momentum__cmf_long_acceleration,-0.0067684275816371426,0.0999103444613452,-0.06774501297266383,2553,121.57142857142857,-0.746952680854407,0.45654625548444755
momentum__mfi_short_velocity,-0.006831121308601962,0.1031676723643906,-0.06621377755305251,2553,121.57142857142857,-0.7300693657362973,0.4667638870615966
volatility__vol_rs7,0.00747712439895851,0.11869118994431095,0.06299645662383807,2553,121.57142857142857,0.6945953671673483,0.4886452153454663
volatility__vol_rs20,0.007104492602198561,0.11961571070456781,0.059394309997835924,2553,121.57142857142857,0.6548783022343374,0.5137935128334191
momentum__cci_short_velocity,-0.006601711611108931,0.11190842481422233,-0.05899208770088886,2553,121.57142857142857,-0.6504434219410048,0.5166433568877365
volatility__bb_bandwidth,0.0063103669100289875,0.11761363096914451,0.053653363628272714,2553,121.57142857142857,0.5915789523158869,0.5552401234618041
momentum__mfi_long_velocity,-0.00496275813886096,0.10065192950994793,-0.04930614011100966,2553,121.57142857142857,-0.543646711727148,0.5876884023282565
candle__gap_log,-0.005575288798707668,0.11447403257960248,-0.04870352404883393,2553,121.57142857142857,-0.5370023011142262,0.5922556092170096
candle__body_size,0.003039212223217674,0.09824627158249331,0.030934631658421495,2553,121.57142857142857,0.34108349876359845,0.7336343745913055
momentum__willr_long_acceleration,-0.002512487700956927,0.11057609745313723,-0.022721797556852042,2553,121.57142857142857,-0.25052925454114616,0.8026044923025961
momentum__stochastic_long_acceleration,-0.002512487700956927,0.11057609745313723,-0.022721797556852042,2553,121.57142857142857,-0.25052925454114616,0.8026044923025961
candle__skew_log,0.0021225444933094155,0.10528728725770164,0.0201595515336459,2553,121.57142857142857,0.22227807482973846,0.8244734955018302
momentum__cci_short_acceleration,0.0017583940955967286,0.1120326373552069,0.01569537357244946,2553,121.57142857142857,0.17305630115803847,0.8628973553815884
momentum__cci_long_acceleration,0.0015423734838247928,0.11011117734658221,0.014007419782372051,2553,121.57142857142857,0.1544450181523737,0.8775170890808561
trend__adx,-0.0008521948882846901,0.10516977527443458,-0.00810303992816316,2553,121.57142857142857,-0.08934365987728259,0.9289570358553084
momentum__rsi_short_acceleration,0.0007279929462339936,0.10767862478429756,0.0067607934972452825,2553,121.57142857142857,0.07454412665782728,0.9407009664527689
momentum__stochastic_short_acceleration,-0.0005912343713149827,0.11163779334750767,-0.005296005533489722,2553,121.57142857142857,-0.058393457429201094,0.9535318938446179
momentum__willr_short_acceleration,-0.0005912343713149827,0.11163779334750767,-0.005296005533489722,2553,121.57142857142857,-0.058393457429201094,0.9535318938446179
momentum__mfi_short_acceleration,-0.0004449482901649564,0.10971164879221511,-0.004055615744210098,2553,121.57142857142857,-0.04471698977864931,0.9644068665044737
momentum__cmf_short_acceleration,-0.00033809281967711895,0.0989883947975339,-0.003415479363703571,2553,121.57142857142857,-0.03765888225825178,0.9700219408525925
