ticker,sector,beta_global,beta_sector
FSM,Basic Materials,0.3176143999541461,0.7507115039008158
FTAI,Industrials,0.4281141882319304,0.163542106438024
FTS,Utilities,0.3085103208481979,0.7081169459083057
FTV,Technology,0.6894912568422019,0.08157989208929489
FUN,Consumer Cyclical,0.46775631805413204,0.13891354964560362
FWRD,Industrials,0.44214356988704495,0.12795185405550139
GABC,Financial Services,0.6486118714667531,0.5476722219180851
GAP,Consumer Cyclical,0.5509092057680819,0.3152911341832541
GASS,Industrials,0.25203307844467904,0.038939830028488165
GATX,Industrials,0.6416489210838449,0.16220049609937853
GBDC,Financial Services,0.5413136790434881,-0.09408994872791095
GD,Industrials,0.5034524068735532,0.1694429131184595
GDDY,Technology,0.4005492701387081,0.20731600823931712
GE,Industrials,0.5760367391468443,0.2949345638539536
GEO,Industrials,0.31384475135539663,0.02538613604493142
GEVO,Basic Materials,0.4104411929928156,0.1243213260832031
GGAL,Financial Services,0.34497620614069485,-0.1167544679669045
GIC,Industrials,0.47437184233085256,0.06169040478730173
GIL,Consumer Cyclical,0.5643384756963382,0.1354633201015951
GKOS,Healthcare,0.42625768299161115,0.288670638083523
GM,Consumer Cyclical,0.6358259310026726,0.1411773514717154
GME,Consumer Cyclical,0.16382065486815253,0.12049258716094595
GMED,Healthcare,0.48495180634513796,0.17962940232764915
GNL,Real Estate,0.605272455794231,0.47371342916905085
GNRC,Industrials,0.5381723459987702,0.15673271775935696
GNTX,Consumer Cyclical,0.6438693449377042,0.23008261103947086
GNW,Financial Services,0.5813611420429039,0.12392611726790742
GOLF,Consumer Cyclical,0.5785478007454354,0.2793077673411946
GOOD,Real Estate,0.6068558711331232,0.41090333073421936
GOOGL,Communication Services,0.4803126070078219,0.35375486185064287
GPI,Consumer Cyclical,0.6239252376919384,0.25309934676019896
GPRK,Energy,0.3509871739779612,0.5210364232763913
GRBK,Consumer Cyclical,0.6194059293126086,0.36959290033407594
GRMN,Technology,0.5832381094312741,0.12362580965630743
GSBC,Financial Services,0.6740924827184573,0.5716352886825625
GT,Consumer Cyclical,0.5785737968806579,0.1434249254432152
GTLS,Industrials,0.5457359382171235,0.0845346000835301
GTN,Communication Services,0.4724764114034796,0.10613061034106847
GTY,Real Estate,0.5080895241905494,0.5555343608930304
GVA,Industrials,0.6113654820561841,0.22417856689804608
GYRE,Healthcare,0.17715331292513486,0.11569440368404306
HAE,Healthcare,0.3389166028277477,0.19657183150106175
HALO,Healthcare,0.379211142135716,0.35737756743709914
HAPN,Financial Services,0.6088414495473352,-0.020944628487332084
HAS,Consumer Cyclical,0.512487229702489,0.2107714662803625
HBAN,Financial Services,0.7548282725661509,0.3650339596814992
HBM,Basic Materials,0.5109438413186679,0.5551970791916719
HD,Consumer Cyclical,0.6249973364407394,0.37409761910494754
HDB,Financial Services,0.4142864008536683,-0.08927415618364742
HEI-A,Industrials,0.5424739132313017,0.2403110651465914
HFWA,Financial Services,0.6573069346786732,0.5877154345472538
HII,Industrials,0.3764417986692468,0.2168959958154763
HIMX,Technology,0.38139811343521113,0.4476905358922952
HIVE,Financial Services,0.46544728326502655,-0.18865786570846574
HLIT,Technology,0.42194149195166497,0.2079759437204389
HLNE,Financial Services,0.662991582443943,-0.07354209999215977
HLX,Energy,0.47463475307732744,0.5937673320054605
HMN,Financial Services,0.4554857678822229,0.3347982325077541
HON,Industrials,0.6412135483990578,0.18881777636985686
HP,Energy,0.49170788200187626,0.6196290049576293
HR,Real Estate,0.4189921257570342,0.5349768016912781
HRB,Consumer Cyclical,0.32546830365336904,-0.021969539729564412
HRTG,Financial Services,0.25847857820651526,0.045488207770942604
HRZN,Financial Services,0.3883510075885931,-0.05947848368881908
HSBC,Financial Services,0.5225370416899933,0.02195426778743649
HSIC,Healthcare,0.4980621187976048,0.008960281786240129
HTB,Financial Services,0.6230018562427824,0.5093519899663576
HTLD,Industrials,0.543337552472942,0.12229169088738337
HTO,Utilities,0.3357546890437821,0.5833826619278801
HTT,Financial Services,0.2637461045716697,-0.135909492137375
HUBS,Technology,0.4338313316940973,0.3464714910771441
HWC,Financial Services,0.7854953566020205,0.45298950994670034
HWKN,Basic Materials,0.49519020033343747,0.08191696395211898
HZO,Consumer Cyclical,0.5970622509607048,0.2783472782129793
IBOC,Financial Services,0.7410465456380927,0.5035618124678888
IBP,Consumer Cyclical,0.6082849942238087,0.36520115167516837
ICFI,Industrials,0.3874828446933337,-0.04834318738950802
IDT,Communication Services,0.4161928333921868,0.14957062674282595
IIIN,Industrials,0.5769194535097361,0.16648053123477313
ILMN,Healthcare,0.4626402141738058,0.39345129359502046
IMKTA,Consumer Defensive,0.3994138421715396,0.331594812895036
IMO,Energy,0.43533501331864066,0.6568834413057114
INSM,Healthcare,0.2871528487355175,0.3720405640114072
INVA,Healthcare,0.29909715834663314,0.21234247570003573
INVX,Energy,0.449039475618231,0.5611316249840423
IOSP,Basic Materials,0.7128889075985134,-0.014522852186386537
IPGP,Technology,0.4944903788157987,0.34958008829163445
IPI,Basic Materials,0.4176770352654817,0.23928920842926385
IQV,Healthcare,0.5787152944895131,0.31743792702581686
IRS,Real Estate,0.3288070687767688,-0.03203751050858937
IRT,Real Estate,0.5857159975944604,0.5331503894310292
IRTC,Healthcare,0.32347973509099437,0.2948763640219605
IRWD,Healthcare,0.2270754365726402,0.15684675905605258
ITGR,Healthcare,0.48770158322285584,0.09622186985721674
ITT,Industrials,0.7657740140060618,0.32677850356095234
ITW,Industrials,0.7264742233757787,0.2365125978229981
IVZ,Financial Services,0.7684037889323074,-0.0027369478308612197
IX,Financial Services,0.5276598769958549,-0.10162601236421805
JBHT,Industrials,0.5825519058487841,0.20573716355592925
JBSS,Consumer Defensive,0.3467226473517498,0.3542887074943098
JBTM,Industrials,0.6497359878551803,0.13108878625676362
JHX,Basic Materials,0.49049325718493825,0.08199925207216661
JKHY,Technology,0.41236096703371106,-0.12425275164136802
JLL,Real Estate,0.7037859940583269,0.11278557453267318
JNJ,Healthcare,0.22601991527520507,0.17290477641048257
JOYY,Communication Services,0.2935849492863812,0.5054794129745801
JPM,Financial Services,0.6673779768159958,0.14949093590112486
KBH,Consumer Cyclical,0.6239066721792006,0.4742090234234225
KBR,Industrials,0.5084271014133441,0.11042587469722967
KE,Industrials,0.5440703606790958,0.05385095862267701
KEP,Utilities,0.27140529575766686,0.05590077587444487
KFRC,Industrials,0.4647642071951772,-0.14872464796015833
KGC,Basic Materials,0.3127639220439062,0.8121961109094734
KHC,Consumer Defensive,0.2573844339533345,0.6874280851398438
KLIC,Technology,0.5978702472106419,0.42304301120458565
KMPR,Financial Services,0.45946687662649344,0.10756944895375989
KN,Technology,0.6315640879473376,0.2950824435161028
KNOP,Energy,0.22634442144765032,0.25798366580007737
KNX,Industrials,0.573706129568303,0.17142755877669338
KODK,Industrials,0.42153024650273835,-0.07702163942356637
KOF,Consumer Defensive,0.37722749723648386,0.16455219415605474
KOP,Basic Materials,0.629964918454298,0.011253925535626616
KOPN,Technology,0.40592232249384047,0.3237476782070818
KOS,Energy,0.37281674719180813,0.6460746496537125
KR,Consumer Defensive,0.10292588367925566,0.47993957689543437
KRC,Real Estate,0.6648013003199206,0.34273723547145746
KREF,Real Estate,0.614178338471276,0.2011994207514709
KRNY,Financial Services,0.6268960561632456,0.5193544280124229
L,Financial Services,0.6638494734509541,0.1576799303191388
LAMR,Real Estate,0.7097980576521123,0.20654023706334443
LAND,Real Estate,0.53767242839755,0.34552443563808555
LAUR,Consumer Defensive,0.3818986676010811,-0.06445255309674788
LAZ,Financial Services,0.7057840209162508,0.030591670557913377
LBRDA,Communication Services,0.4066982749907702,0.056431263709966914
LBTYK,Communication Services,0.48542029915688845,0.14010013053183215
LCII,Consumer Cyclical,0.678378322837447,0.2555367449241067
LEA,Consumer Cyclical,0.703746012412943,0.19730278587667438
LECO,Industrials,0.7072500013871883,0.3288643721627216
LGIH,Consumer Cyclical,0.6208576697304324,0.4539938778628653
LH,Healthcare,0.47204298486993096,0.22288729530619428
LII,Industrials,0.6118254505484212,0.32238095320830823
LILA,Communication Services,0.5112498748731193,0.04483974782506846
LIN,Basic Materials,0.5738180108586542,0.0698196483980635
LITE,Technology,0.40702429281307967,0.4658723429803697
LKFN,Financial Services,0.6233556480854406,0.5424046631001179
LLY,Healthcare,0.20772844038783062,0.28934809835742703
LNC,Financial Services,0.6809505993168642,0.1667449631411134
LOB,Financial Services,0.6801876762434453,0.27405926093045035
LOMA,Basic Materials,0.38151788585105667,0.16008057179187063
LQDT,Consumer Cyclical,0.3919516806918048,0.032642020174264035
LRCX,Technology,0.5620727575688393,0.6090941290453733
LRN,Consumer Defensive,0.19944243479896823,0.048846936087114885
LSCC,Technology,0.5904458921186243,0.5232765567762316
LULU,Consumer Cyclical,0.4778537268839912,0.31267646660446435
LW,Consumer Defensive,0.33179329167413546,0.25749668974356005
LXFR,Industrials,0.5512484279382566,0.15058914996860145
LXP,Real Estate,0.6225397506790838,0.4283544242399104
LYTS,Technology,0.40259825413920225,0.03526807434767158
