feature,base,global_removed,sector_removed
trend__rel_12,-0.12364382815081199,-0.23969829101679607,-0.268130522566677
trend__rel_26,-0.138531707460734,-0.30788913707881216,-0.348655624367914
trend__rel_52,-0.12441842919769742,-0.33053081268804924,-0.40961353925565025
trend__velocity_12/26,-0.13890082992430958,-0.3271071304641042,-0.34886950300589625
trend__velocity_26/52,-0.06381779376079544,-0.2683907379301741,-0.38323737514960077
trend__velocity_52/104,0.004440323169383908,-0.2294225546864666,-0.502650963618763
volatility__atr_norm,-0.06315059164298306,0.1388040105525878,0.16619273145922941
volatility__bb_bandwidth,-0.07747577074406124,0.035887283559942175,0.053653363628272714
volatility__vol100,-0.0627826072663091,0.09986216371735522,0.147959734738135
volatility__vol20,-0.058837783890205324,0.1247176299532517,0.16927104875618323
volatility__vol7,-0.03705571264043155,0.0920510769531257,0.15030284025999807
volatility__vol_park100,-0.08467026508710604,0.05881550196180911,0.129041940603846
volatility__vol_park20,-0.07926583807847662,0.10598470255841018,0.13079293800552028
volatility__vol_park7,-0.06939763124984112,0.09930201260601579,0.1127705155682628
volatility__vol_rs100,-0.08771795528700686,0.08054118312037033,0.13700416609874766
volatility__vol_rs20,-0.0985508855976774,0.06634779607394573,0.059394309997835924
volatility__vol_rs7,-0.08624521140153471,0.06670063903268804,0.06299645662383807
volume__ad_zvel12_26,-0.1401203665517793,-0.14470629123823206,-0.17248329668318024
volume__ad_zvel26_52,-0.09382796095332395,-0.105442042683237,-0.16476739549113242
volume__obv_zvel12_26,-0.08939456148713852,-0.13387043043715732,-0.1485964967974869
volume__obv_zvel26_52,-0.12192549975037702,-0.12793803476933827,-0.15238518468459555
volume__price_zvel12_26,-0.10459890919279351,-0.16450670797404732,-0.1406770988294895
volume__price_zvel26_52,-0.1277274941414639,-0.18925959151345267,-0.2249229879186619
