representation,horizon,feature,ic_mean,ic_std,icir,n_days,n_eff,t_stat,p_value
base,10,volume__ad_zvel26_52,-0.01336089094492875,0.11120756397390036,-0.120143724648662,2551,255.1,-1.9189175770295326,0.056114967857649814
base,10,trend__rel_52,-0.018822208309897018,0.1598536345979851,-0.11774651453645625,2551,255.1,-1.8806296961302464,0.06116598321995631
base,10,momentum__rsi_long_raw,-0.017325809328374728,0.14766866181234597,-0.11732895196403945,2551,255.1,-1.8739604492589395,0.06208342961142289
base,10,momentum__cmf_long_velocity,-0.01307351483932236,0.11257517402158435,-0.11613142020829334,2551,255.1,-1.8548336514018544,0.06477830238153585
base,10,trend__plus_di,-0.014646759839422365,0.13253426544141975,-0.11051300424565484,2551,255.1,-1.7650971530762185,0.078748609609532
base,10,momentum__mfi_long_raw,-0.013720679073182755,0.12955365303846733,-0.10590731138325203,2551,255.1,-1.6915357164393143,0.09196051385180634
base,10,momentum__willr_long_raw,-0.015137360732294944,0.14954470937113026,-0.10122297736878162,2551,255.1,-1.6167182350991045,0.10717988431170664
base,10,momentum__cmf_short_raw,-0.012233071951093988,0.12143365548101992,-0.10073872768333172,2551,255.1,-1.6089838716456806,0.10886153776427002
base,10,trend__acceleration_26/52,-0.015057927118029316,0.15468745417548904,-0.09734420414564761,2551,255.1,-1.5547670500750914,0.12124615483349947
base,10,momentum__cci_long_raw,-0.014144545084666825,0.14656136784457527,-0.09650936868757098,2551,255.1,-1.5414331831659753,0.12445579015671258
base,10,momentum__cmf_long_raw,-0.012059872665967811,0.125404813344696,-0.09616754209281621,2551,255.1,-1.535973579987455,0.12578907059593697
base,10,momentum__rsi_short_raw,-0.013428718452888656,0.1424990593485442,-0.0942372427879879,2551,255.1,-1.5051431285777388,0.13352928661680466
base,10,trend__minus_di,0.01305535795376221,0.1421486024469056,0.0918430271492719,2551,255.1,1.4669030749605707,0.14363896541006432
base,10,momentum__mfi_short_raw,-0.010826896499950214,0.1259881619360287,-0.08593582391850149,2551,255.1,-1.3725541096379177,0.1711012576651155
base,10,momentum__rsi_long_velocity,-0.011590089201318323,0.13826292810785315,-0.08382644111426149,2551,255.1,-1.3388633633956415,0.18181169620095308
base,10,momentum__willr_short_raw,-0.011396795863411894,0.14438831064218785,-0.07893156871718354,2551,255.1,-1.2606831945392385,0.2085793734642181
base,10,momentum__mfi_long_velocity,-0.009411004399994899,0.11936736052164042,-0.07884068441212415,2551,255.1,-1.2592316040299167,0.20910219951150735
