ticker,shift,sector,cap_bucket,market_cap
ENPH,0,Technology,mid,6270000000.0
ENSG,0,Healthcare,mid,9450000000.0
ENVA,0,Financial Services,mid,5760000000.0
EPD,0,Energy,large,79120000000.0
EPR,0,Real Estate,mid,4570000000.0
EQBK,0,Financial Services,small,1020000000.0
EQIX,0,Real Estate,large,107630000000.0
EQT,0,Energy,large,32960000000.0
ERIC,0,Technology,large,36500000000.0
ESE,0,Technology,mid,8810000000.0
ESLT,0,Industrials,large,33549999999.999996
ETD,0,Consumer Cyclical,small,573310000.0
EVRG,0,Utilities,large,20100000000.0
EW,0,Healthcare,large,52270000000.0
EXK,0,Basic Materials,small,2380000000.0
EXLS,0,Technology,mid,3970000000.0
EXP,0,Basic Materials,mid,7240000000.0
EXPD,0,Industrials,large,21020000000.0
EXR,0,Real Estate,large,32930000000.0
EXTR,0,Technology,mid,4150000000.0000005
EYE,0,Consumer Cyclical,small,1510000000.0
F,0,Consumer Cyclical,large,56300000000.0
FCBC,0,Financial Services,small,851830000.0
FCF,0,Financial Services,small,2080000000.0
FELE,0,Industrials,mid,4770000000.0
FFBC,0,Financial Services,mid,3540000000.0
FFIV,0,Technology,large,22260000000.0
FHB,0,Financial Services,mid,3590000000.0
FHI,0,Financial Services,mid,4170000000.0
FHN,0,Financial Services,large,12140000000.0
FINV,-1,Financial Services,small,1180000000.0
FIS,0,Technology,large,19940000000.0
FISI,0,Financial Services,small,766390000.0
FITB,0,Financial Services,large,51030000000.0
FIVE,0,Consumer Cyclical,mid,10420000000.0
FIVN,0,Technology,small,1630000000.0
FLEX,0,Technology,large,53750000000.0
FLG,0,Financial Services,mid,6370000000.0
FLO,0,Consumer Defensive,small,1690000000.0
FMC,0,Basic Materials,small,1470000000.0
FMNB,0,Financial Services,small,874610000.0
FMS,0,Healthcare,large,12520000000.0
FN,0,Technology,large,18800000000.0
FND,0,Consumer Cyclical,mid,6440000000.0
FPI,0,Real Estate,small,432680000.0
FRBA,0,Financial Services,small,438330000.0
FRPT,0,Consumer Defensive,mid,2820000000.0
FRST,0,Financial Services,small,412450000.0
FSM,0,Basic Materials,mid,2540000000.0
FTAI,0,Industrials,large,26680000000.0
FTS,0,Utilities,large,29390000000.0
FTV,0,Technology,large,18740000000.0
FUN,0,Consumer Cyclical,small,2250000000.0
FWRD,0,Industrials,small,470260000.0
GABC,0,Financial Services,small,1790000000.0
GAP,0,Consumer Cyclical,mid,7280000000.0
GASS,0,Industrials,small,303440000.0
GATX,0,Industrials,mid,6470000000.0
GBDC,0,Financial Services,mid,3270000000.0
GD,0,Industrials,large,93620000000.0
GDDY,0,Technology,large,11200000000.0
GE,0,Industrials,large,384990000000.0
GEO,0,Industrials,mid,3980000000.0
GEVO,0,Basic Materials,small,332500000.0
GGAL,0,Financial Services,mid,8270000000.0
GIC,0,Industrials,small,1340000000.0
GIL,0,Consumer Cyclical,mid,9900000000.0
GKOS,0,Healthcare,mid,8480000000.0
GM,0,Consumer Cyclical,large,70420000000.0
GME,0,Consumer Cyclical,mid,9760000000.0
GMED,0,Healthcare,large,11710000000.0
GNL,0,Real Estate,small,1910000000.0
GNRC,0,Industrials,large,16399999999.999998
GNTX,0,Consumer Cyclical,mid,5460000000.0
GNW,0,Financial Services,mid,3620000000.0
GOLF,0,Consumer Cyclical,mid,6910000000.0
GOOD,0,Real Estate,small,605100000.0
GOOGL,0,Communication Services,large,4120000000000.0
GPI,0,Consumer Cyclical,mid,3550000000.0
GPRK,0,Energy,small,597020000.0
GRBK,0,Consumer Cyclical,mid,3460000000.0
GRMN,0,Technology,large,44840000000.0
GSBC,0,Financial Services,small,861110000.0
GT,0,Consumer Cyclical,small,1960000000.0
