i,j,c0,c_best,best_lag,gain
0,40,0.37999277623652955,0.37999277623652955,0,0.0
0,41,0.24866130933776437,0.24866130933776437,0,0.0
0,42,0.19052398546814298,0.19052398546814298,0,0.0
0,43,-0.03250145293857141,0.05432146352884299,-2,0.0868229164674144
0,44,0.24993326978065084,0.24993326978065084,0,0.0
0,45,0.06979016179344166,0.06979016179344166,0,0.0
0,46,0.2653231328164928,0.2653231328164928,0,0.0
0,47,0.12378454084473761,0.12378454084473761,0,0.0
0,48,0.21295419447426056,0.21295419447426056,0,0.0
0,49,0.3299693436507189,0.3299693436507189,0,0.0
0,50,0.3679808015258707,0.3679808015258707,0,0.0
0,51,0.3004248341186597,0.3004248341186597,0,0.0
0,52,0.24198247154407165,0.24198247154407165,0,0.0
0,53,0.2568215522454971,0.2568215522454971,0,0.0
0,54,0.051901080548580135,0.051901080548580135,0,0.0
0,55,0.35563396811712017,0.35563396811712017,0,0.0
0,56,0.3163115841581971,0.3163115841581971,0,0.0
0,57,0.2400064617074449,0.2400064617074449,0,0.0
0,58,0.2699655859899175,0.2699655859899175,0,0.0
0,59,0.3706442591233736,0.3706442591233736,0,0.0
0,60,0.39310901451460145,0.39310901451460145,0,0.0
0,61,0.16009502097194364,0.16009502097194364,0,0.0
0,62,0.43219429512870383,0.43219429512870383,0,0.0
0,63,0.24606669920380028,0.24606669920380028,0,0.0
0,64,0.3474174196601575,0.3474174196601575,0,0.0
0,65,0.27275290886478437,0.27275290886478437,0,0.0
0,66,0.2875671455539467,0.2875671455539467,0,0.0
0,67,0.3744539910118785,0.3744539910118785,0,0.0
0,68,0.37159925168539854,0.37159925168539854,0,0.0
0,69,0.2905740759340102,0.2905740759340102,0,0.0
0,70,0.2211943795227348,0.2211943795227348,0,0.0
0,71,0.20994761643507756,0.20994761643507756,0,0.0
0,72,0.3384320899551484,0.3384320899551484,0,0.0
0,73,0.24753217089359864,0.24753217089359864,0,0.0
0,74,0.2921481993837204,0.2921481993837204,0,0.0
0,75,0.15089758727635297,0.15089758727635297,0,0.0
0,76,0.3002660968527218,0.3002660968527218,0,0.0
0,77,0.2171224796600009,0.2171224796600009,0,0.0
0,78,0.3037047025450865,0.3037047025450865,0,0.0
0,79,0.336868502226866,0.336868502226866,0,0.0
0,80,0.2265642185408449,0.2265642185408449,0,0.0
0,81,0.41260181031742954,0.41260181031742954,0,0.0
0,82,0.10984113087601548,0.10984113087601548,0,0.0
0,83,0.23650912662586016,0.23650912662586016,0,0.0
0,84,0.19924346423661993,0.19924346423661993,0,0.0
0,85,0.4195839291457912,0.4195839291457912,0,0.0
0,86,0.4206122928356147,0.4206122928356147,0,0.0
0,87,0.18378226634478523,0.18378226634478523,0,0.0
0,88,0.28699367267501713,0.28699367267501713,0,0.0
0,89,0.1743865820423048,0.1743865820423048,0,0.0
0,90,0.1742559965436335,0.1742559965436335,0,0.0
0,91,0.08089391107248972,0.08089391107248972,0,0.0
0,92,0.22093570813286612,0.22093570813286612,0,0.0
0,93,0.3897057707248486,0.3897057707248486,0,0.0
0,94,0.2973846314043702,0.2973846314043702,0,0.0
0,95,0.034176725520824264,0.034290589354890315,5,0.0001138638340660511
0,96,0.32491233458593055,0.32491233458593055,0,0.0
0,97,0.29813551557603846,0.29813551557603846,0,0.0
0,98,0.28659300912591557,0.28659300912591557,0,0.0
0,99,0.2862898480156838,0.2862898480156838,0,0.0
0,100,0.3825543780058652,0.3825543780058652,0,0.0
0,101,0.3080178819636877,0.3080178819636877,0,0.0
0,102,0.40862306765567386,0.40862306765567386,0,0.0
0,103,0.31321284718990505,0.31321284718990505,0,0.0
0,104,0.1985723716331303,0.1985723716331303,0,0.0
0,105,0.32954483214807573,0.32954483214807573,0,0.0
0,106,0.4287122685104303,0.4287122685104303,0,0.0
0,107,0.32582233243661557,0.32582233243661557,0,0.0
0,108,0.12908667900662535,0.12908667900662535,0,0.0
0,109,0.22949510814501595,0.22949510814501595,0,0.0
0,110,0.33626179152874525,0.33626179152874525,0,0.0
0,111,0.2127177305110572,0.2127177305110572,0,0.0
0,112,0.16319770006567877,0.16319770006567877,0,0.0
0,113,0.34399400988985623,0.34399400988985623,0,0.0
0,114,0.38128419360657245,0.38128419360657245,0,0.0
0,115,0.09238825700292759,0.09238825700292759,0,0.0
0,116,0.2539435546000741,0.2539435546000741,0,0.0
0,117,0.2864652685938385,0.2864652685938385,0,0.0
0,118,0.2627565674391914,0.2627565674391914,0,0.0
0,119,0.24961995185649674,0.24961995185649674,0,0.0
0,120,0.24469589860568655,0.24469589860568655,0,0.0
0,121,0.30844826840547956,0.30844826840547956,0,0.0
0,122,0.09342894119941862,0.09342894119941862,0,0.0
0,123,0.2405441686732806,0.2405441686732806,0,0.0
0,124,0.28968444435592183,0.28968444435592183,0,0.0
0,125,0.3572707535945968,0.3572707535945968,0,0.0
0,126,0.19236445357683504,0.19236445357683504,0,0.0
0,127,0.25523742209459427,0.25523742209459427,0,0.0
0,128,0.14682480366571937,0.14682480366571937,0,0.0
0,129,0.13588751212199038,0.13588751212199038,0,0.0
0,130,0.28642948237028215,0.28642948237028215,0,0.0
0,131,0.4109352505804516,0.4109352505804516,0,0.0
0,132,0.22627733914195663,0.22627733914195663,0,0.0
0,133,0.21487019622088055,0.21487019622088055,0,0.0
0,134,0.325611440252661,0.325611440252661,0,0.0
0,135,0.21674244783076677,0.21674244783076677,0,0.0
0,136,0.2723211638884469,0.2723211638884469,0,0.0
