feature,ic_mean,ic_std,icir,n_days,n_eff,t_stat,p_value
momentum__cci_short_velocity,-0.006518038522450698,0.14184795651922727,-0.04595088066402414,2553,121.57142857142857,-0.5066518108641249,0.6133244213726097
candle__body_log,-0.0065104623048156,0.1428331696807095,-0.04558088516392336,2553,121.57142857142857,-0.5025722614098225,0.6161817410687197
volatility__vol7,-0.006594653899002787,0.1779659175089605,-0.03705571264043155,2553,121.57142857142857,-0.4085741914155324,0.6835769144637293
momentum__cmf_long_acceleration,-0.004366344287620353,0.11933221346460847,-0.03658982064315201,2553,121.57142857142857,-0.40343729260798494,0.6873411194801822
momentum__mfi_long_acceleration,-0.004321301371034507,0.12480237185568546,-0.03462515420805801,2553,121.57142857142857,-0.38177499163137574,0.7033002758245115
momentum__rsi_long_acceleration,-0.0037716597393416176,0.1382863408237072,-0.027274275368598236,2553,121.57142857142857,-0.30072461737008493,0.7641424352699312
candle__skew_log,0.0027256924078729212,0.12499982528426476,0.021805569741192566,2553,121.57142857142857,0.24042697847462036,0.8104075829104576
momentum__cmf_short_acceleration,-0.0025539010676295434,0.11873072051096405,-0.02151002753658609,2553,121.57142857142857,-0.2371683468447835,0.8129286955115131
candle__body_size,0.002212738646443225,0.10694109133971211,0.020691191933081894,2553,121.57142857142857,0.2281399118002246,0.819923927074641
candle__gap_log,-0.002829186232716745,0.15804015122896076,-0.017901692770579295,2553,121.57142857142857,-0.19738305183013038,0.8438601573619499
momentum__cci_short_acceleration,0.002253841666329503,0.13767940542100338,0.01637021644186788,2553,121.57142857142857,0.18049708046191096,0.8570653786796548
momentum__cci_long_acceleration,0.0021524413803899202,0.1375461917901016,0.01564886204682854,2553,121.57142857142857,0.17254346770759402,0.8632995895681668
momentum__rsi_short_acceleration,0.0018412867716176263,0.13845567110906562,0.013298745778113996,2553,121.57142857142857,0.14663121866951018,0.8836680005428635
momentum__willr_long_acceleration,0.0012713445021888192,0.1375090222254411,0.00924553517735364,2553,121.57142857142857,0.10194074786648423,0.9189730458694304
momentum__stochastic_long_acceleration,0.0012713445021888192,0.1375090222254411,0.00924553517735364,2553,121.57142857142857,0.10194074786648423,0.9189730458694304
trend__adx,-0.0008592356959269806,0.10929911009934658,-0.007861323803514822,2553,121.57142857142857,-0.08667851156024456,0.931070840880928
trend__velocity_52/104,0.0007857263443246514,0.17695251321846253,0.004440323169383908,2553,121.57142857142857,0.04895875208658668,0.9610331758382613
momentum__stochastic_short_acceleration,-0.00018512760099799794,0.13806445984791751,-0.0013408780304643353,2553,121.57142857142857,-0.014784445313461856,0.9882285852276143
momentum__willr_short_acceleration,-0.00018512760099799794,0.13806445984791751,-0.0013408780304643353,2553,121.57142857142857,-0.014784445313461856,0.9882285852276143
momentum__mfi_short_acceleration,3.1577992370453584e-06,0.12627047136703273,2.5008216116232944e-05,2553,121.57142857142857,0.00027573917623935264,0.9997804476712407
